hrhhid2,gestfips,hefaminc,hwhhwgt,helaptop,hedesktp,hetablet,hemphone,heinhome
15011,10,2,665.1802,1,2,1,1,1
15011,10,6,639.3969,2,2,2,2,2
15011,10,13,676.2677,1,1,2,1,1
16011,10,9,780.8129,1,2,2,1,1
16011,10,13,794.907,2,1,2,1,1
16011,10,11,797.1962,1,1,2,1,1
16011,10,8,776.3109,1,2,1,1,1
16011,10,15,690.9415,1,2,2,1,1
16011,10,14,694.1855,1,1,1,1,1
16011,10,10,652.9075,1,1,1,1,1
16011,10,15,821.2456,1,1,2,1,1
16011,10,16,892.7769,1,2,1,1,1
16011,10,13,731.9075,1,2,1,1,1
16011,10,13,811.5851,1,1,1,1,1
16011,10,13,663.7904,2,2,2,1,1
16011,10,16,1090.747,1,2,2,1,1
16011,10,12,809.7285,1,2,1,1,1
16011,10,10,655.9326,2,2,2,1,1
16011,10,9,780.8129,1,2,1,1,1
16011,10,4,724.6757,1,2,1,2,1
15011,10,15,700.7573,1,1,1,1,1
15011,10,13,588.5559,1,2,1,1,1
15011,10,13,1048.9892,1,1,2,1,1
16011,10,16,692.9502,1,2,1,1,1
16011,10,14,692.9502,1,1,1,1,1
16011,10,16,757.2071,1,1,1,1,1
16011,10,16,757.2071,1,1,1,1,1
16011,10,6,821.2456,2,2,1,1,1
16011,10,9,821.5167,2,2,2,2,2
16011,10,10,655.1899,1,1,1,1,1
16011,10,9,878.8387,1,2,2,1,1
16011,10,6,687.8282,2,2,1,1,1
15011,11,16,396.3916,1,2,1,1,1
15011,11,16,429.8239,1,2,1,1,1
15011,11,15,347.6372,1,2,2,1,1
15011,11,15,396.3916,1,2,1,1,1
15011,11,8,498.2685,1,2,1,1,1
15012,11,16,658.9151,1,2,1,1,1
15011,11,14,954.0815,1,2,1,1,1
15011,11,15,867.9,2,2,1,1,1
15011,11,16,627.9345,1,2,1,1,1
15011,11,16,461.2048,1,2,2,1,1
15011,11,1,304.2833,1,2,2,1,1
15011,11,11,294.6435,1,2,2,1,1
16011,11,14,419.6391,1,1,2,1,1
16011,11,16,380.0039,1,2,2,1,1
16011,11,16,458.5669,1,1,1,1,1
16011,11,14,485.9862,1,1,1,1,1
16011,11,16,387.2042,1,1,1,1,1
16011,11,15,407.8199,1,2,2,1,1
16011,11,16,545.2741,1,1,2,1,1
16011,11,12,485.5697,1,2,2,2,1
16011,11,13,520.3046,1,1,1,1,1
16011,11,16,338.284,1,2,2,1,1
16011,11,16,338.284,1,2,2,1,1
16011,11,16,386.999,2,2,2,1,1
16011,11,15,750.6404,1,2,2,1,1
16011,11,12,516.821,1,2,2,1,1
16011,11,12,292.9446,1,1,2,1,1
16011,11,9,293.4791,1,2,1,1,1
16011,11,16,430.995,1,2,1,1,1
16011,11,16,373.5195,1,2,2,1,1
16011,11,2,447.3544,1,2,1,1,2
16011,11,14,379.357,1,1,1,1,1
16011,11,3,485.5697,1,2,1,1,1
16011,11,13,1098.0685,1,2,2,1,1
