hrhhid2,gestfips,prtage,pesex,peeduca,hefaminc,pemlr,ptdtrace,pwprmwgt,pelaptop,pemphone,peinhome,peemail,pefinanc,peegovts,peedtrai
16011,9,58,2,42,11,1,1,7184.7266,2,2,1,1,2,2,2
16011,9,63,1,39,11,5,1,5937.6119,2,1,2,2,2,2,2
16011,9,74,1,45,16,5,1,5270.6358,1,1,1,1,1,1,2
16011,9,76,2,40,7,5,1,3758.0038,2,1,1,1,2,2,2
15011,9,20,2,41,12,1,3,20529.5045,1,2,1,1,1,2,2
16011,9,30,2,43,1,7,1,6168.205,2,1,1,1,1,2,2
16011,9,55,2,45,16,1,1,4959.2064,1,1,1,1,1,1,1
15011,9,77,2,46,16,5,1,3432.9479,1,1,1,1,1,1,1
15011,9,74,2,40,9,5,1,3524.2921,2,1,1,1,1,1,2
15011,9,23,2,44,16,2,1,13310.6153,1,1,1,1,1,1,2
16011,9,40,2,40,10,1,1,4974.3693,2,1,1,1,1,1,2
15011,10,85,2,41,13,5,2,1037.5214,1,1,1,2,2,2,2
15011,10,63,2,41,14,5,1,1274.2985,2,2,1,1,1,1,2
16011,10,76,2,40,13,1,1,1037.853,2,2,1,1,1,1,2
16011,10,69,2,40,8,5,1,1045.5815,1,1,1,2,2,2,2
16011,10,29,2,39,11,7,3,2203.3868,2,1,1,1,2,2,2
16011,10,37,2,40,7,1,2,1206.5275,1,1,1,1,1,1,1
15011,10,30,2,43,13,1,2,1729.3957,1,1,1,1,1,2,1
15011,10,72,1,43,14,5,2,1197.187,1,1,1,1,1,2,2
15011,10,74,1,43,15,5,1,1035.5777,1,2,1,1,2,2,2
15011,10,41,1,44,15,1,1,1767.0039,1,1,1,1,1,2,1
15011,10,26,2,43,7,1,1,1899.2705,1,1,1,1,1,1,1
15011,10,56,2,39,13,1,1,1346.5718,2,1,1,1,1,2,1
15011,10,36,2,43,15,1,2,2407.1032,1,1,1,1,1,2,2
15011,10,39,2,41,15,1,1,1913.0394,2,1,1,1,1,1,2
15011,10,54,2,44,16,1,2,2118.1643,1,1,1,1,1,2,1
15011,10,31,2,43,16,1,2,1859.1212,1,1,1,1,1,2,1
15011,10,45,2,43,13,1,2,1434.393,1,1,1,1,1,2,2
15011,10,70,2,39,13,1,1,1003.6798,1,1,1,1,1,2,2
15011,10,67,2,44,11,5,1,1065.2352,1,1,1,1,1,2,2
15011,10,60,2,39,9,1,2,1325.4652,1,1,1,1,2,2,2
15011,10,64,2,42,10,1,1,1154.9526,1,1,1,1,1,2,1
15011,10,71,2,41,12,5,1,1164.014,1,1,1,1,1,2,2
15011,10,29,1,44,16,1,1,2311.7555,1,1,1,1,1,2,2
15011,10,73,2,43,2,5,1,1003.6798,1,1,1,1,1,1,2
15011,10,80,1,43,13,5,1,1056.5275,1,1,1,1,2,2,2
16011,10,66,2,43,9,1,2,1120.3212,1,1,1,1,1,2,1
16011,10,73,1,44,13,5,1,1258.1786,2,1,1,1,1,2,2
16011,10,50,1,40,11,1,2,1864.9729,1,1,1,1,1,2,1
16011,10,76,2,39,8,5,4,1443.8539,1,1,1,1,1,2,2
16011,10,48,2,39,15,1,1,1462.7447,1,1,1,1,1,2,1
