hrhhid2,gestfips,prtage,pesex,peeduca,hefaminc,pemlr,ptdtrace,pwsswgt,pwprmwgt,pelaptop,pedesktp,petablet,pemphone,peinhome
16011,1,55,1,38,8,1,2,3389.562,0,2,2,2,2,2
16011,1,37,1,44,13,1,1,2355.5555,4326.9311,1,2,2,1,1
15011,1,62,1,43,16,1,1,1877.6354,0,1,1,1,1,1
15011,1,64,2,43,16,5,1,1873.5048,3383.2995,1,2,1,1,1
15011,1,52,2,40,9,1,1,2748.5978,5818.8674,1,2,2,1,1
15011,1,23,1,43,13,1,1,2266.4604,7393.7326,1,2,1,1,1
15011,1,61,2,43,16,1,1,1996.9299,0,1,2,1,1,1
15011,1,64,1,43,16,1,1,2593.4205,4519.0003,1,2,1,1,1
15011,1,80,2,39,10,5,2,1916.5907,0,2,2,2,2,2
15011,1,85,1,39,10,5,2,2189.3874,0,2,2,2,2,2
15011,1,29,1,39,9,1,2,3621.3803,6315.0458,1,2,2,1,1
16011,1,31,2,43,6,1,1,1885.0401,3609.8705,1,2,2,1,1
16011,1,35,2,40,6,7,1,1937.5745,0,1,2,2,1,1
16011,1,31,2,43,13,1,1,1885.0401,3609.8705,1,2,1,1,1
16011,1,35,2,40,13,1,1,1937.5745,0,1,2,1,1,1
15012,1,42,2,43,13,1,2,2460.3428,4096.2754,1,2,1,1,1
15011,1,56,2,39,10,1,1,2295.3821,0,1,2,2,2,2
15011,1,46,1,39,10,5,1,3643.2524,0,1,2,2,2,2
15011,1,47,2,40,4,7,1,2703.1796,0,1,2,2,2,2
15011,1,46,1,39,4,6,1,2711.2818,0,1,2,2,2,2
15011,1,14,2,-1,4,-1,1,2928.2677,0,1,2,2,2,2
16011,1,36,2,41,14,1,2,3213.6927,0,1,2,1,1,1
16011,1,18,2,39,14,1,2,2434.6047,6848.7293,1,2,1,1,1
16011,1,17,1,37,14,1,2,3559.2464,0,1,2,1,1,1
16011,1,50,1,41,8,1,2,3530.3944,6796.7254,1,2,2,1,1
16011,1,26,2,39,7,1,2,2773.4415,4795.5406,2,2,2,1,1
16011,1,63,2,39,2,6,2,2118.7476,0,2,2,2,2,2
15011,1,61,1,41,13,1,2,2666.0639,4039.676,1,2,2,1,1
15011,1,66,2,39,8,1,2,1901.7108,0,2,2,1,2,2
15011,1,80,2,34,8,7,2,1901.7108,0,2,2,2,2,2
15011,1,85,1,32,8,6,2,1949.2542,0,2,2,2,2,2
16011,1,49,1,44,16,1,2,2747.6653,0,1,1,1,1,1
16011,1,47,2,44,16,1,2,2085.9553,0,1,2,1,1,1
16011,1,21,1,39,16,3,2,3368.1276,10854.0866,1,2,1,1,1
16011,1,38,1,44,16,1,2,3845.5361,6696.4163,1,1,1,1,1
16011,1,39,2,44,16,1,2,2661.8582,0,1,2,1,1,1
16011,1,9,1,-1,16,-1,2,2376.6614,0,2,1,2,2,1
16011,1,6,1,-1,16,-1,2,2294.8325,0,2,1,2,2,1
16011,1,45,2,44,16,1,2,2085.9553,0,1,1,1,1,1
16011,1,44,1,44,16,1,2,3772.2622,6568.8209,1,1,1,1,1
16011,1,14,2,-1,16,-1,2,2576.1365,0,1,1,1,1,1
16011,1,6,2,-1,16,-1,2,2744.6571,0,2,1,1,2,1
16011,1,54,1,40,12,1,2,2542.8319,4895.4673,1,2,2,1,1
16011,1,21,2,40,12,7,2,3014.277,0,1,2,2,1,1
16011,1,52,2,43,15,1,1,1831.6274,3877.6124,1,2,1,1,1
16011,1,53,1,39,15,1,1,2049.9212,0,1,2,2,2,2
16011,1,66,1,42,11,1,1,1821.7174,2883.4138,1,2,2,1,2
16011,1,68,2,39,11,5,1,1597.4947,0,2,2,2,1,2
16011,1,22,2,39,9,1,2,4344.8534,12222.4051,2,2,1,1,1
